                                   icb_name                                    | icb_code | cost_rank_within_icb |                   bnf_chemical_substance                   | total_items | total_actual_cost 
-------------------------------------------------------------------------------+----------+----------------------+------------------------------------------------------------+-------------+-------------------
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |                    1 | Tirzepatide                                                |        6454 |        1517470.80
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |                    2 | Detection Sensor Interstitial Fluid/Gluc                   |        6179 |         494085.51
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |                    3 | Edoxaban                                                   |        9292 |         423416.11
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |                    4 | BeclometDiprop/Formoterol                                  |       10608 |         306248.32
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |                    5 | Estradiol                                                  |       17832 |         278204.87
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |                    1 | Tirzepatide                                                |        6562 |        1561780.57
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |                    2 | Detection Sensor Interstitial Fluid/Gluc                   |        7538 |         587930.26
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |                    3 | BeclometDiprop/Formoterol                                  |       13882 |         383842.08
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |                    4 | Edoxaban                                                   |        5443 |         288958.99
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |                    5 | Budesonide                                                 |        7946 |         274501.82
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |                    1 | Tirzepatide                                                |        7901 |        1787933.67
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |                    2 | Wound Management & Other Dressings                         |       13091 |         696729.71
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |                    3 | BeclometDiprop/Formoterol                                  |       21021 |         606433.68
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |                    4 | Empagliflozin                                              |       11456 |         511236.96
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |                    5 | Detection Sensor Interstitial Fluid/Gluc                   |        5617 |         443559.46
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |                    1 | Tirzepatide                                                |        9304 |        2184885.37
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |                    2 | Detection Sensor Interstitial Fluid/Gluc                   |        8141 |         678006.15
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |                    3 | BeclometDiprop/Formoterol                                  |       20620 |         664351.58
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |                    4 | Wound Management & Other Dressings                         |       10875 |         447038.63
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |                    5 | BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) |        8300 |         422939.98
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      |                    1 | Tirzepatide                                                |        4800 |        1207208.37
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      |                    2 | Detection Sensor Interstitial Fluid/Gluc                   |        6856 |         619292.13
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      |                    3 | BeclometDiprop/Formoterol                                  |        9434 |         366526.74
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      |                    4 | Catheters                                                  |        2496 |         306828.90
