                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | distinct_chemicals | total_actual_cost | avg_cost_per_item 
-------------------------------------------------------------------------------+----------+------------------------------------------+---------------+----------+-------------+--------------------+-------------------+-------------------
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | MODALITY PARTNERSHIP (AWC)               | B83033        | BD22 8DH |      165948 |                930 |        1475832.56 |              8.89
 NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD                                | QMJ      | MEDICUS HEALTH PARTNERS                  | F85002        | N9 7HD   |      152619 |                926 |        1150338.15 |              7.54
 NHS SURREY HEARTLANDS INTEGRATED CARE BOARD                                   | QXU      | NHS SURREY ICB - APPLIANCE SERVICE       | Y08792        | L3 4BH   |       13579 |                 39 |        1048227.03 |             77.19
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      | BAY MEDICAL GROUP                        | Y01008        | LA3 2LE  |      111811 |                801 |        1001549.85 |              8.96
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | PORTSDOWN GROUP PRACTICE                 | J82155        | PO2 8AL  |      103392 |                808 |         914152.27 |              8.84
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | VALENS MEDICAL PARTNERSHIP               | A84036        | NE61 1BJ |      126728 |                812 |         885323.18 |              6.99
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | MIDLANDS MEDICAL PARTNERSHIP             | M85063        | B24 0SY  |       93225 |                881 |         874842.32 |              9.38
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      | NOTTS APPLIANCE MANAGEMENT SERVICE       | Y05430        | NG8 6AS  |        9191 |                 36 |         849202.00 |             92.39
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      | BLMK APPLIANCE PRESCRIBING SERVICE       | Y07872        | L3 4BH   |       11832 |                 37 |         847088.59 |             71.59
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | CARLISLE HEALTHCARE                      | A82016        | CA1 3UB  |       75181 |                802 |         816438.02 |             10.86
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | MODALITY PARTNERSHIP (HULL)              | B81048        | HU5 2NT  |       99713 |                826 |         809961.09 |              8.12
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      | HEATON MOOR MEDICAL GROUP                | P88026        | SK4 4NX  |       99125 |                838 |         808149.61 |              8.15
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | SOLIHULL HEALTHCARE PARTNERSHIP          | M89017        | B91 2AG  |       79776 |                800 |         805338.49 |             10.09
 NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD                    | QGH      | HEREFORD MEDICAL GROUP                   | M81026        | HR1 1BB  |       70910 |                772 |         804573.22 |             11.35
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | THE WILLOW GROUP                         | J82083        | PO12 3JP |       96640 |                780 |         802900.17 |              8.31
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | PRIORY MEDICAL GROUP                     | B82005        | YO24 3WX |       83276 |                797 |         772988.78 |              9.28
