                                   icb_name                                    | icb_code | total_items | total_actual_cost | avg_cost_per_item | cost_rank | avg_cost_per_item_rank | percent_of_national_cost | cumulative_percent_of_national_cost 
-------------------------------------------------------------------------------+----------+-------------+-------------------+-------------------+-----------+------------------------+--------------------------+-------------------------------------
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      |     7850732 |       55005847.78 |              7.01 |         1 |                     43 |                     6.08 |                                6.08
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      |     5927361 |       50274220.52 |              8.48 |         2 |                     20 |                     5.56 |                               11.63
 NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD                             | QYG      |     5635603 |       47295566.01 |              8.39 |         3 |                     21 |                     5.23 |                               16.86
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      |     4950206 |       41007770.83 |              8.28 |         4 |                     22 |                     4.53 |                               21.39
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      |     3877155 |       30936617.84 |              7.98 |         5 |                     33 |                     3.42 |                               24.81
 NHS SUSSEX INTEGRATED CARE BOARD                                              | QNX      |     3136122 |       29854994.39 |              9.52 |         6 |                      7 |                     3.30 |                               28.11
 NHS KENT AND MEDWAY INTEGRATED CARE BOARD                                     | QKS      |     3228905 |       29853926.67 |              9.25 |         7 |                     11 |                     3.30 |                               31.41
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      |     3100933 |       29801971.06 |              9.61 |         8 |                      6 |                     3.29 |                               34.70
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      |     3663375 |       29289020.45 |              8.00 |         9 |                     31 |                     3.24 |                               37.94
 NHS NORTH WEST LONDON INTEGRATED CARE BOARD                                   | QRV      |     3410916 |       27244304.97 |              7.99 |        10 |                     32 |                     3.01 |                               40.95
 NHS NORTH EAST LONDON INTEGRATED CARE BOARD                                   | QMF      |     3371729 |       26529659.56 |              7.87 |        11 |                     34 |                     2.93 |                               43.88
 NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD     | QU9      |     2714029 |       24947560.27 |              9.19 |        12 |                     13 |                     2.76 |                               46.64
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      |     2326212 |       23652895.44 |             10.17 |        13 |                      2 |                     2.61 |                               49.25
 NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD                                     | QF7      |     3340853 |       23567857.90 |              7.05 |        14 |                     42 |                     2.60 |                               51.86
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      |     2349759 |       22895318.26 |              9.74 |        15 |                      5 |                     2.53 |                               54.39
 NHS SOUTH EAST LONDON INTEGRATED CARE BOARD                                   | QKK      |     2395456 |       22094923.43 |              9.22 |        16 |                     12 |                     2.44 |                               56.83
 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD                        | QM7      |     2525105 |       20363256.79 |              8.06 |        17 |                     30 |                     2.25 |                               59.08
 NHS DEVON INTEGRATED CARE BOARD                                               | QJK      |     2477095 |       20255910.30 |              8.18 |        18 |                     24 |                     2.24 |                               61.32
 NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD                    | QNC      |     2342691 |       19933915.33 |              8.51 |        19 |                     19 |                     2.20 |                               63.52
 NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD                                | QMJ      |     2265942 |       19322904.11 |              8.53 |        20 |                     18 |                     2.14 |                               65.66
 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD               | QK1      |     2145645 |       19087376.88 |              8.90 |        21 |                     16 |                     2.11 |                               67.76
 NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD                                 | QH8      |     2065790 |       18581104.03 |              8.99 |        22 |                     15 |                     2.05 |                               69.82
 NHS SOUTH WEST LONDON INTEGRATED CARE BOARD                                   | QWE      |     2216369 |       18022587.79 |              8.13 |        23 |                     25 |                     1.99 |                               71.81
 NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD                                 | QMM      |     2370821 |       17974940.74 |              7.58 |        24 |                     36 |                     1.99 |                               73.80
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      |     2305959 |       17584418.20 |              7.63 |        25 |                     35 |                     1.94 |                               75.74
 NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD                        | QJG      |     2272818 |       17225708.10 |              7.58 |        26 |                     36 |                     1.90 |                               77.64
 NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD                                | QJ2      |     1966244 |       15917741.76 |              8.10 |        27 |                     28 |                     1.76 |                               79.40
 NHS LINCOLNSHIRE INTEGRATED CARE BOARD                                        | QJM      |     2152204 |       15652263.84 |              7.27 |        28 |                     41 |                     1.73 |                               81.13
 NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD                           | QWU      |     1876823 |       15369321.04 |              8.19 |        29 |                     23 |                     1.70 |                               82.83
 NHS SURREY HEARTLANDS INTEGRATED CARE BOARD                                   | QXU      |     1450293 |       14673479.70 |             10.12 |        30 |                      3 |                     1.62 |                               84.45
 NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD | QOX      |     1749701 |       14218349.57 |              8.13 |        31 |                     25 |                     1.57 |                               86.02
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      |     1548840 |       14096978.32 |              9.10 |        32 |                     14 |                     1.56 |                               87.58
 NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD                    | QGH      |     1462605 |       13814884.26 |              9.45 |        33 |                      8 |                     1.53 |                               89.11
 NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD   | QUY      |     1412779 |       13329169.53 |              9.43 |        34 |                      9 |                     1.47 |                               90.58
