                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
-------------------------------------------------------------------------------+----------+------------------------------------------+---------------+----------+-------------+-------------------+-------------------+--------------------------+--------------------------+-----------------------------+------------------------
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | MODALITY PARTNERSHIP (AWC)               | B83033        | BD22 8DH |      165948 |        1475832.56 |              8.89 |                  1283.38 |                154723.26 |                   384883.07 |             1090949.49
 NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD                                | QMJ      | MEDICUS HEALTH PARTNERS                  | F85002        | N9 7HD   |      152619 |        1150338.15 |              7.54 |                 20673.45 |                113082.98 |                   251697.28 |              898640.87
 NHS SURREY HEARTLANDS INTEGRATED CARE BOARD                                   | QXU      | NHS SURREY ICB - APPLIANCE SERVICE       | Y08792        | L3 4BH   |       13579 |        1048227.03 |             77.19 |                  3501.19 |                139828.01 |                   344318.24 |              703908.79
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      | BAY MEDICAL GROUP                        | Y01008        | LA3 2LE  |      111811 |        1001549.85 |              8.96 |                  8686.99 |                155374.33 |                   375405.34 |              626144.51
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | MIDLANDS MEDICAL PARTNERSHIP             | M85063        | B24 0SY  |       93225 |         874842.32 |              9.38 |                 17277.35 |                118734.33 |                   270919.81 |              603922.51
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | SOLIHULL HEALTHCARE PARTNERSHIP          | M89017        | B91 2AG  |       79776 |         805338.49 |             10.09 |                 17277.35 |                118734.33 |                   270919.81 |              534418.68
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      | NOTTS APPLIANCE MANAGEMENT SERVICE       | Y05430        | NG8 6AS  |        9191 |         849202.00 |             92.39 |                 11655.40 |                134585.45 |                   318980.54 |              530221.46
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      | HEATON MOOR MEDICAL GROUP                | P88026        | SK4 4NX  |       99125 |         808149.61 |              8.15 |                  3862.15 |                125093.94 |                   306941.63 |              501207.98
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | VALENS MEDICAL PARTNERSHIP               | A84036        | NE61 1BJ |      126728 |         885323.18 |              6.99 |                  4693.66 |                163218.15 |                   401004.89 |              484318.29
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      | BLMK APPLIANCE PRESCRIBING SERVICE       | Y07872        | L3 4BH   |       11832 |         847088.59 |             71.59 |                  1009.30 |                150914.48 |                   375772.25 |              471316.34
 NHS SOUTH EAST LONDON INTEGRATED CARE BOARD                                   | QKK      | NEXUS HEALTH GROUP                       | G85034        | SE1 6JP  |       91267 |         707689.26 |              7.75 |                  3015.33 |                106969.99 |                   262901.98 |              444787.28
 NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD                             | QHL      | SUTTON COLDFIELD GROUP PRACTICE          | M85046        | B75 6DX  |       64780 |         715585.90 |             11.05 |                 17277.35 |                118734.33 |                   270919.81 |              444666.09
