"YEAR_MONTH","REGIONAL_OFFICE_NAME","REGIONAL_OFFICE_CODE","ICB_NAME","ICB_CODE","PCO_NAME","PCO_CODE","PRACTICE_NAME","PRACTICE_CODE","ADDRESS_1","ADDRESS_2","ADDRESS_3","ADDRESS_4","POSTCODE","BNF_CHEMICAL_SUBSTANCE_CODE","BNF_CHEMICAL_SUBSTANCE","BNF_PRESENTATION_CODE","BNF_PRESENTATION_NAME","BNF_CHAPTER_PLUS_CODE",QUANTITY,ITEMS,TOTAL_QUANTITY,ADQ_USAGE,NIC,ACTUAL_COST,"UNIDENTIFIED",SNOMED_CODE
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","ST MARY'S MEDICAL CENTRE","P85002","ST.MARY'S MEDICAL CENTRE","ROCK STREET","OLDHAM","LANCASHIRE","OL1 3UL","2003","Wound Management & Other Dressings","20030100183","Tegaderm Film dressing 6cm x 7cm","20: Dressings","4.",4,"16.","0.","6.56","5.96231","N",729011000001103
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","ST MARY'S MEDICAL CENTRE","P85002","ST.MARY'S MEDICAL CENTRE","ROCK STREET","OLDHAM","LANCASHIRE","OL1 3UL","2003","Wound Management & Other Dressings","20030100183","Tegaderm Film dressing 6cm x 7cm","20: Dressings","2.",2,"4.","0.","1.64","1.50298","N",729011000001103
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","ST MARY'S MEDICAL CENTRE","P85002","ST.MARY'S MEDICAL CENTRE","ROCK STREET","OLDHAM","LANCASHIRE","OL1 3UL","2003","Wound Management & Other Dressings","20030100183","Tegaderm Film dressing 6cm x 7cm","20: Dressings","3.",2,"6.","0.","2.46","2.24207","N",729011000001103
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","ST MARY'S MEDICAL CENTRE","P85002","ST.MARY'S MEDICAL CENTRE","ROCK STREET","OLDHAM","LANCASHIRE","OL1 3UL","2003","Wound Management & Other Dressings","20030100450","Xupad dressing pad 10cm x 20cm","20: Dressings","10.",1,"10.","0.","1.9","1.9","N",11237811000001105
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","THE CHOWDHURY PRACTICE","P85003","INTEGRATED CARE CENTRE","NEW RADCLIFFE STREET","OLDHAM","","OL1 1NL","2003","Wound Management & Other Dressings","20030100542","Clearpore dressing 10cm x 10cm","20: Dressings","15.",1,"15.","0.","3.15","2.85158","N",17550811000001100
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","THE CHOWDHURY PRACTICE","P85003","INTEGRATED CARE CENTRE","NEW RADCLIFFE STREET","OLDHAM","","OL1 1NL","2005","Tracheostomy & Laryngectomy Appliances","20050200130","Cascade shower protector","20: Dressings","2.",1,"2.","0.","8.","8.","N",9147611000001102
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","THE CHOWDHURY PRACTICE","P85003","INTEGRATED CARE CENTRE","NEW RADCLIFFE STREET","OLDHAM","","OL1 1NL","2005","Tracheostomy & Laryngectomy Appliances","20050200159","Buchanan Lite laryngectomy protector large blue","20: Dressings","20.",1,"20.","0.","77.92","77.92","N",18234811000001107
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","ST MARY'S MEDICAL CENTRE","P85002","ST.MARY'S MEDICAL CENTRE","ROCK STREET","OLDHAM","LANCASHIRE","OL1 3UL","2014","Skin Closure Strips, Sterile","20140000101","Steri-strip skin closure strips 6mm x 75mm","20: Dressings","3.",7,"21.","0.","5.46","5.04374","N",366011000001104
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","THE CHOWDHURY PRACTICE","P85003","INTEGRATED CARE CENTRE","NEW RADCLIFFE STREET","OLDHAM","","OL1 1NL","2101","Other Appliances","21010230115","AeroChamber Plus","21: Appliances","1.",3,"3.","0.","15.66","14.15199","N",9516911000001109
"2026-01","NORTH WEST","Y62","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","QOP","NHS GREATER MANCHESTER ICB - 00Y","00Y00","THE CHOWDHURY PRACTICE","P85003","INTEGRATED CARE CENTRE","NEW RADCLIFFE STREET","OLDHAM","","OL1 1NL","2101","Other Appliances","21010230116","AeroChamber Plus with mask","21: Appliances","1.",1,"1.","0.","8.72","7.87197","N",9518711000001106
